farmacia,p_activo,descripcion,precio,precio en uf
Cruz Verde,paracetamol,Panadol Gotas Pediatricas Paracetamol 80 mg/ml Gotas 30 mL,5943,0.18
Cruz Verde,paracetamol,"Nastizol Pediatrico Pseudoefedrina 7,5 mg / mL Gotas Orales 15 mL",13094,0.4
Cruz Verde,paracetamol,Geniol Pediatrico Paracetamol 80 mg 16 Comprimidos,1758,0.05
Cruz Verde,paracetamol,Geniol Flu Día-Noche Pseudoefedrina 60 mg 20 Comprimidos,2590,0.08
Cruz Verde,paracetamol,Geniol Flu Pseudoefedrina 30 mg Jarabe 100 mL,4990,0.15
Cruz Verde,paracetamol,Tapsin Periodo Pamabrom 25 mg 30 Comprimidos Sin Cafeina y con Tapa de Seguridad Childproof,3490,0.11
Cruz Verde,paracetamol,Trio-Val Pseudoefedrina 30 mg Suspensión Oral 100 mL,13531,0.41
Cruz Verde,paracetamol,Congestex Paracetamol 400 mg 10 Cápsulas,9570,0.29
Cruz Verde,paracetamol,Winasorb Paracetamol 150 mg/5mL Jarabe 60 mL,5292,0.16
Cruz Verde,paracetamol,Winasorb Paracetamol 100 mg Gotas 25 mL,5664,0.17
Cruz Verde,paracetamol,Trio-Val Paracetamol 120 mg Gotas 15 mL,14778,0.45
Cruz Verde,paracetamol,Trio-Val Día/Noche Pseudoefedrina 60 mg 20 Comprimidos,4990,0.15
Cruz Verde,paracetamol,Panadol Advance Paracetamol 500 mg 10 Comprimidos Recubierto,2990,0.09
Cruz Verde,paracetamol,Tapsin Paracetamol 100 mg/ml Gotas 15 mL,3246,0.1
Cruz Verde,paracetamol,Paracetamol 125 mg 6 Supositorios,1246,0.04
Cruz Verde,paracetamol,Tapsin Nocturno Paracetamol 500 mg 12 Comprimidos,1479,0.04
Cruz Verde,paracetamol,Kitadol Paracetamol 160 mg 15 Comprimidos,2595,0.08
Cruz Verde,paracetamol,Trio-Val Pseudoefedrina 60 mg 10 Comprimidos,3990,0.12
Cruz Verde,paracetamol,Tapsin Paracetamol 400 mg Cafeina 33 mg 30 Comprimidos con Tapa de Seguridad Childproof,3190,0.1
Cruz Verde,paracetamol,Paracetamol Infantil Paracetamol 80 mg 100 Comprimidos,540,0.02
Cruz Verde,paracetamol,Paracetamol 100 mg Gotas 15 mL,1572,0.05
Cruz Verde,paracetamol,Tapsin Analgésico Paracetamol 400 mg 12 Comprimidos,1290,0.04
Cruz Verde,paracetamol,"Tramavolta 37,5/325 Tramadol 37,5 mg 30 Comprimidos",9290,0.28
Cruz Verde,paracetamol,Congestex Paracetam 15 mg/5ml Jarabe 120 mL,9756,0.3
Cruz Verde,paracetamol,Dolider Ácido Acetilsalicilico 65 mg 10 Comprimidos,2967,0.09
Cruz Verde,paracetamol,"Cronus Tramadol 37,5 mg 20 Comprimidos",17568,0.53
Cruz Verde,paracetamol,Paracetamol 80 mg 20 Comprimidos,1479,0.04
Cruz Verde,paracetamol,Panadol Advance Paracetamol 500 mg 12 Comprimidos,2990,0.09
Cruz Verde,paracetamol,Panadol Niños Paracetamol 160 mg / 5 mL Jarabe 90 mL,7990,0.24
Cruz Verde,paracetamol,Tapsin Forte Paracetamol 650 mg 30 Comprimidos Recibiertos con Tapa De Seguridad Childproof,3490,0.11
Cruz Verde,paracetamol,Kitadol Paracetamol 120 mg/5ml Jarabe 60 mL,8919,0.27
Cruz Verde,paracetamol,Codeipar Paracetamol 500 mg 12 Comprimidos,7868,0.24
Cruz Verde,paracetamol,Kitadol Infantil Paracetamol 100 mg Gotas 15 mL,3060,0.09
Cruz Verde,paracetamol,Nastul Pseudoef 60 mg 10 Comprimidos,4641,0.14
Cruz Verde,paracetamol,"Zaldiar Tramadol 37,5 mg 20 Comprimidos Recubiertos",23985,0.73
Cruz Verde,paracetamol,Panadol Pediatrico Paracetamol 160 mg / 5 mL Jarabe 120 mL Sin Azucar,10407,0.32
Cruz Verde,paracetamol,Xumadol Paracetamol 1000 mg 20 Sobres Efervecente Granulado,8640,0.26
Cruz Verde,paracetamol,Tapsin InstaFLU DN Paracetamol 500 mg Pseudoefedrina Clorhidrato 60 mg 12+6 Comprimidos,6408,0.19
Cruz Verde,paracetamol,Congestex Paracetam 15 mg Gotas 15 mL,13011,0.39
Cruz Verde,paracetamol,Panagesic Periodo Menstrual Pamabrom 25 mg 10 Comprimidos,1851,0.06
Cruz Verde,paracetamol,"Analgex SAP Tramadol 37,5 mg 20 Comprimidos Recubiertos",20916,0.63
Cruz Verde,paracetamol,Nastul Día y Noche Paracetamol 60 mg 20 Comprimidos,4590,0.14
Cruz Verde,paracetamol,Panadol Niños Paracetamol 100 mg / mL Gotas Orales 15 mL,2790,0.08
Cruz Verde,paracetamol,Panadol Pediatrico Paracetamol 80 mg 16 Comprimidos,3060,0.09
Cruz Verde,paracetamol,Panadol Niños Paracetamol 160 mg / 5 mL Jarabe 60 mL,7890,0.24
Cruz Verde,paracetamol,Nastigrip Antigripal Día-Noche Paracetamol 300 mg 18 Comprimidos,2223,0.07
Cruz Verde,paracetamol,Cortigrip Paracetamol 30 mg 10 Comprimidos,3525,0.11
Cruz Verde,paracetamol,Sevedol Ácido Acetilsalicilico 65 mg 12 Comprimidos,3060,0.09
Cruz Verde,paracetamol,Dropol Paracetamol 1000 mg 20 Comprimidos,7338,0.22
Cruz Verde,paracetamol,"Cronotan Tramadol 37,5 mg 30 Comprimidos",13280,0.4
Cruz Verde,paracetamol,Tapsin Dia Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Cafeina 33 mg Polvo para Soluc.Oral  1 Sobre Sabor Limon / Miel / Jengibre,590,0.02
Cruz Verde,paracetamol,Tapsin SC Paracetamol 1000 mg Polvo para Soluc. Oral Efervescente 1 Sobre Sabor Limon,7990,0.24
Cruz Verde,paracetamol,Tapsin Noche Compuesto Antigripal Paracetamol 400 mg Noscapina 10 mg Clorfenamina 4 mg Polvo para Soluc.Oral 1 Sobre Sabor Limon / Miel / Jengibre,590,0.02
Cruz Verde,ácido acetilsalicílico,Hassapirin Puro Acido Acetilsalicilico 500 mg 20 Comprimidos,1162,0.04
Cruz Verde,ácido acetilsalicílico,Hassapirin Infantil Ácido Acetilsalicilico 100 mg 30 Comprimidos,2190,0.07
Cruz Verde,ácido acetilsalicílico,Tapsin M Migraña Paracetamol 400 mg Cafeína 33 mg 10 Comprimidos,1990,0.06
Cruz Verde,ácido acetilsalicílico,Aspirina Adulto Ácido Acetilsalicílico 500 mg 20 Comprimidos,2316,0.07
Cruz Verde,ácido acetilsalicílico,Disgren AAS 81 Ácido Acetilsalicílico 81 mg 30 Comprimidos Recubiertos,2490,0.08
Cruz Verde,ácido acetilsalicílico,Cardioaspirina 100 EC Ácido Acetilsalicílico 100 mg 20 Comprimidos,6190,0.19
Cruz Verde,ácido acetilsalicílico,Cardioaspirina 325 EC Acido Acetilsalicilico 325 mg 30 Comprimidos,14592,0.44
Cruz Verde,ácido acetilsalicílico,Hassapirin Infantil Ácido Acetilsalicílico 100 mg 20 Comprimidos,1665,0.05
Cruz Verde,ácido acetilsalicílico,Acido Acetilsalicilico 100 mg 100 Comprimidos,3292,0.1
Cruz Verde,ácido acetilsalicílico,Dolider Ácido Acetilsalicilico 65 mg 10 Comprimidos,2967,0.09
Cruz Verde,ácido acetilsalicílico,Coplavix Clopidogrel 75 mg 28 Comprimidos,65323,1.98
Cruz Verde,ácido acetilsalicílico,Aspirina Forte Ácido Acetilsalicilico 650 mg 10 Comprimidos,2037,0.06
Cruz Verde,ácido acetilsalicílico,Aspirina para Niños Acido Acetilsalicilico 100 mg 42 Comprimidos,3711,0.11
Cruz Verde,ácido acetilsalicílico,Sevedol Ácido Acetilsalicilico 65 mg 12 Comprimidos,3060,0.09
Cruz Verde,ácido acetilsalicílico,Obleas Chinas 5 Acido Acetilsalisilico 15 mg 5 Obleas,2781,0.08
Cruz Verde,ácido acetilsalicílico,Trinomia 100/20/5 Acido Acetilsalicilico 100 mg 28 Cápsulas,21939,0.66
Cruz Verde,ácido acetilsalicílico,Trinomia Acido Acetilsalicilico 100 mg 28 Cápsulas,22590,0.68
Cruz Verde,ácido acetilsalicílico,Trinomia 100/20/10 Acido Acetilsalicilico 100 mg 28 Cápsulas,22590,0.68
Cruz Verde,ácido acetilsalicílico,Cafiaspirina Ácido Acetilsalicilico 40 mg 40 Comprimidos,7617,0.23
Cruz Verde,ácido acetilsalicílico,Cardioaspirina 100 EC Ácido Acetilsalicílico 100 mg 50 Comprimidos,10407,0.32
Cruz Verde,ácido acetilsalicílico,Cafiaspirina AAS 40 mg 10 Comprimidos,2037,0.06
Cruz Verde,ácido acetilsalicílico,Aspirina Adulto Acido Acetilsalicilico 500 mg 40 Comprimidos,2595,0.08
Cruz Verde,losartán,Lopren Losartan Potasico 50 mg 30 Comprimidos Recubiertos,3432,0.1
Cruz Verde,losartán,Losartan Potasico 100 mg 30 Comprimidos,4690,0.14
Cruz Verde,losartán,Corodin Losartan Potasico 50 mg 30 Comprimidos,20730,0.63
Cruz Verde,losartán,Corodin Losartan Potasico 100 mg 30 Comprimidos,19056,0.58
Cruz Verde,losartán,Losartan Potasico 50 mg 30 Comprimidos,2399,0.07
Cruz Verde,losartán,Losapres Losartán Potásico 50 mg 30 Comprimidos Recubiertos,23520,0.71
Cruz Verde,losartán,Losapres Losartan Potasico 100 mg 30 Comprimidos Recubierto,18126,0.55
Cruz Verde,losartán,Lopren-D Losartan 50 mg 30 Comprimidos,7710,0.23
Cruz Verde,losartán,Corodin-D Losartan 50 mg 30 Comprimidos,28542,0.86
Cruz Verde,losartán,"Losartan Potásico 50 mg Hidroclorotiazida 12,5 mg 30 Comprimidos",4390,0.13
Cruz Verde,losartán,Cozaar Losartan Potasico 50 mg 30 Comprimidos,20506,0.62
Cruz Verde,losartán,Corodin-D Losartan 100 mg 30 Comprimidos Recubierto,26217,0.79
Cruz Verde,losartán,Simperten-D Losartan 50 mg 30 Comprimidos Recubierto,24636,0.75
Cruz Verde,losartán,Simperten-D Losartan 100 mg 30 Comprimidos Recubierto,26496,0.8
Cruz Verde,losartán,Losapres-D 12.5/50 Losartan 50 mg 30 Comprimidos Recubierto,22683,0.69
Cruz Verde,losartán,Losapres-D 100/25 Losartan 100 mg 30 Comprimidos Recubierto,23706,0.72
Cruz Verde,losartán,Hyzaar Forte Losartan 100 mg 30 Comprimidos,18033,0.55
Cruz Verde,metformina,Glimefor XR Metformina 500 mg 30 Comprimidos,6790,0.21
Cruz Verde,metformina,Glimefor 850 Metformina 850 mg 30 Comprimidos Recubiertos,5390,0.16
Cruz Verde,metformina,Glimefor XR Metformina de Liberación Prolongada 1000 mg 60 Comprimidos,21490,0.65
Cruz Verde,metformina,Glimefor XR Metformina 750 mg 30 Comprimidos,11590,0.35
Cruz Verde,metformina,Glimefor 850 Metformina 850 mg 60 Comprimidos Recubiertos,11090,0.34
Cruz Verde,metformina,Glimefor XR Metformina de Liberación Prolongada 1000 mg 30 Comprimidos,10990,0.33
Cruz Verde,metformina,Glicenex SR  Metformina 750 mg 30 Comprimidos,15336,0.46
Cruz Verde,metformina,Glaupax 500 Metformina 500 mg 30 Comprimidos Recubiertoss,5990,0.18
Cruz Verde,metformina,Glicenex Sr Metformina 1000 mg 30 Comprimidos,11490,0.35
Cruz Verde,metformina,Glaupax XR Metformina 500 mg 30 Comprimidos,7990,0.24
Cruz Verde,metformina,Glaupax XR Metformina 750 mg 30 Comprimidos de Liberación Prolongada,11490,0.35
Cruz Verde,metformina,Glaupax XR Metformina 1000 mg 30 Comprimidos,12990,0.39
Cruz Verde,metformina,Glucosan XR Metformina Clorhidrato 750 mg 60 Comprimidos Recubiertos de Liberacion Prolongada,15490,0.47
Cruz Verde,metformina,Glucovance Metformina 500 mg 30 Comprimidos Recubiertos,17103,0.52
Cruz Verde,metformina,Glicenex Duo Metformina 500 mg 30 Comprimidos,10965,0.33
Cruz Verde,metformina,Metformina 850 mg 30 Comprimidos,2223,0.07
Cruz Verde,metformina,Glucosan XR Metformina Clorhidrato 1000 mg 60 Comprimidos Recubiertos de Liberacion Prolongada,23890,0.72
Cruz Verde,metformina,Metformina 850 mg 60 Comprimidos,4641,0.14
Cruz Verde,metformina,Hipoglucin Metformina 1000 mg 30 Comprimidos Recubiertos,17289,0.52
Cruz Verde,metformina,Hipoglucin Metformina 850 mg 60 Comprimidos Recubiertos,15615,0.47
Cruz Verde,metformina,Glifortex Metformina 850 mg 30 Comprimidos,11569,0.35
Cruz Verde,metformina,Hipoglucin Metformina 850 mg 30 Comprimidos,8547,0.26
Cruz Verde,metformina,Glicenex Metformina 500 mg Comprimidos Recubiertos,6036,0.18
Cruz Verde,metformina,Hipoglucin 500 LP Metformina 500 mg 60 Comprimidos Liberacion Prolongada,12406,0.38
Cruz Verde,metformina,Hipoglucin 500 LP Metformina 500 mg 30 Comprimidos Liberacion Prolongada,8361,0.25
Cruz Verde,metformina,Glicenex Metformina 850 mg 30 Comprimidos Recubiertos,9105,0.28
Cruz Verde,metformina,Glicenex Sr  Metformina 500 mg 30 Comprimidos,7803,0.24
Cruz Verde,metformina,Hipoglucin 750 Lp Metformina 750 mg 30 Comprimidos Liberacion Prolongada,12360,0.37
Cruz Verde,metformina,Hipoglucin 1000 Lp Metformina 1000 mg 30 Comprimidos,14359,0.43
Cruz Verde,metformina,Glifortex XR Metformina 750 mg 30 Comprimidos de Liberación Prolongada,12267,0.37
Cruz Verde,metformina,Hipoglucin 750 LP Metformina 750 mg 60 Comprimidos Liberación Prolongada,20358,0.62
Cruz Verde,metformina,Hipoglucin 1000 Lp Metformina 1000 mg 60 Comprimidos,23473,0.71
Cruz Verde,metformina,Glaupax 850 Metformina 850 mg 30 Comprimidos Recubiertos,5943,0.18
Cruz Verde,metformina,Glucophage Metformina 500 mg 30 Comprimidos,6190,0.19
Cruz Verde,metformina,"Jardiance Duo Empagliflozina 12,5 mg 60 Comprimidos Recubiertos",43887,1.33
Cruz Verde,metformina,Glucophage Metformina 850 mg 30 Comprimidos,7990,0.24
Cruz Verde,metformina,"Jardiance Duo Empagliflozina 12,5 mg 60 Comprimidos",43468,1.32
Cruz Verde,metformina,Janumet XR 100/1000 Sitagliptina 28 Comprimidos,55419,1.68
Cruz Verde,metformina,Galvus Met 50/500 Metformina 500 mg 28 Comprimidos,28356,0.86
Cruz Verde,metformina,Galvus Met 50/1000 Metformina 1000 mg 28 Comprimidos,32840,0.99
Cruz Verde,metformina,Janumet 50/500 Sitagliptina 50 mg 28 Comprimidos,31239,0.95
Cruz Verde,metformina,Janumet 50/850 Sitagliptina 50 mg 28 Comprimidos Recubierto,31611,0.96
Cruz Verde,metformina,Janumet 50/1000 Sitagliptina 50 mg 28 Comprimidos Recubierto,31862,0.96
Cruz Verde,metformina,Janumet 50/500 Sitagliptina 50 mg 56 Comprimidos Recubierto,50862,1.54
Cruz Verde,metformina,Janumet XR 50/1000 Sitagliptina 50 mg 56 Comprimidos,53838,1.63
Cruz Verde,metformina,Glucophage Metformina 1000 mg 30 Comprimidos Recubiertos,22190,0.67
Cruz Verde,metformina,Janumet 50/850 Sitagliptina 50 mg 56 Comprimidos Recubiertos,51234,1.55
Cruz Verde,metformina,Janumet 50/1000 Sitagliptina 50 mg 56 Comprimidos,49699,1.51
Cruz Verde,metformina,Glucophage Forte Metformina 850 mg 60 Comprimidos Recubiertos,15990,0.48
Cruz Verde,metformina,Glucovance Metformina 1000 mg 30 Comprimidos,22683,0.69
Cruz Verde,metformina,Galvus Met Vildagliptina 50 mg / metformina 500 mg con 56 Comprimidos Recubiertos,54024,1.64
Cruz Verde,metformina,"Glucovance Metformina 2,5 mg 30 Comprimidos",17819,0.54
Cruz Verde,metformina,Glafornil Metformina 850 mg 30 Comprimidos Recubiertos,14871,0.45
Cruz Verde,metformina,Glafornil Metformina 850 mg 60 Comprimidos Recubiertos,20079,0.61
Cruz Verde,metformina,Glafornil Metformina 500 mg 30 Comprimidos Recubiertos,9198,0.28
Cruz Verde,metformina,Glafornil XR Metformina 500 mg 30 Comprimidos Liberacion Prolongada,10407,0.32
Cruz Verde,metformina,Glafornil Metformina 1000 mg 30 Comprimidos Recubiertos,23659,0.72
Cruz Verde,metformina,"Glicenex Duo Metformina 2,5 mg 30 Comprimidos",10500,0.32
Cruz Verde,metformina,Glukaut Metformina 500 mg 60 Comprimidos,10221,0.31
Cruz Verde,metformina,Hipoglucin DA Metformina 500 mg 30 Comprimidos,10872,0.33
Cruz Verde,metformina,Glafornil XR Metformina 1000 mg 30 Comprimidos Liberación Prolongada,23613,0.72
Cruz Verde,metformina,Glucophage 750 Xr Metformina 750 mg 30 Comprimidos,17196,0.52
Cruz Verde,metformina,Galvus Met Vildagliptina 50 mg / Metformina 850 mg de 28 Comprimidos,33657,1.02
Cruz Verde,metformina,Galvus Met Vildagliptina 50 mg 56 Comprimidos Recubierto Axon,50843,1.54
Cruz Verde,metformina,Galvus Met Vildagliptina 50 mg 56 Comprimidos Recubierto,49790,1.51
Cruz Verde,metformina,Glafornil XR Metformina 750 mg 30 Comprimidos Liberación Prolongada,19614,0.59
Cruz Verde,metformina,Glucophage 500 XR Metformina 500 mg 30 Comprimidos,8909,0.27
Cruz Verde,metformina,"Trayenta Duo Linagliptina 2,5 mg 60 Comprimidos",43794,1.33
Cruz Verde,metformina,"Kombiglyze XR Saxagliptina 2,79 mg 56 Comprimidos Recubiertos",49746,1.51
Cruz Verde,metformina,Glifortex Xr Metformina 500 mg 30 Comprimidos Liberación Prolongada,8268,0.25
Cruz Verde,metformina,Glifortex XR Metformina 1000 mg 30 Comprimidos Recubiertos de Liberación Prolongada,14499,0.44
Cruz Verde,metformina,"Trayenta Duo Linagliptina 2,5 mg 60 Comprimidos Recubiertos",44166,1.34
Cruz Verde,metformina,Kombiglyze XR Saxagliptina 5 mg 28 Comprimidos,49746,1.51
Cruz Verde,metformina,"Trayenta Duo Linagliptina 2,5 mg 60 Comprimidos",41655,1.26
Cruz Verde,metformina,Xigduo XR Dapagliflozina 10 mg 28 Comprimidos,36819,1.12
Cruz Verde,metformina,Xigduo XR Dapagliflozina 5 mg 56 Comprimidos,39609,1.2
Cruz Verde,atorvastatina,Hipolixan Atorvastatina 20 mg 30 Comprimidos,18684,0.57
Cruz Verde,atorvastatina,Hipolixan Atorvastatina 10 mg 30 Comprimidos Recubiertos,8831,0.27
Cruz Verde,atorvastatina,Toresta 40 Atorvastatina 40 mg 30 Comprimidos Recubiertos,19990,0.61
Cruz Verde,atorvastatina,Orvakare Atorvastatina 40 mg 30 Comprimidos Recubiertos,14074,0.43
Cruz Verde,atorvastatina,Lipoten Atorvastatina 40 mg 28 Comprimidos Recubiertos,26589,0.81
Cruz Verde,atorvastatina,Lipoten Atorvastatina 80 mg 28 Comprimidos Recubiertos,28263,0.86
Cruz Verde,atorvastatina,Toresta 80 Atorvastatina 80 mg 30 Comprimidos Recubiertos,21990,0.67
Cruz Verde,atorvastatina,Colmibe Atorvastatina / Ezetimiba 10 mg / 10 mg 30 Comprimidos,32240,0.98
Cruz Verde,atorvastatina,Colmibe Atorvastatina / Ezetimiba 20 mg / 10 mg 30 Comprimidos,33540,1.02
Cruz Verde,atorvastatina,Colmibe Atorvastatina / Ezetimiba 40 mg / 10 mg 30 Comprimidos,37760,1.14
Cruz Verde,atorvastatina,Atorvastatina 20 mg 30 Comprimidos,3013,0.09
Cruz Verde,atorvastatina,Atorvastatina 10 mg 30 Comprimidos,2409,0.07
Cruz Verde,atorvastatina,Atorvastatina 10 mg 60 Comprimidos Recubiertos,4548,0.14
Cruz Verde,atorvastatina,Lipitor Atorvastatina 40 mg 30 Comprimidos Recubiertos,63510,1.92
Cruz Verde,atorvastatina,Lipitor Atorvastatina 10 mg 60 Comprimidos Recubiertos,61650,1.87
Cruz Verde,atorvastatina,Lipitor Atorvastatina 80 mg 30 Comprimidos Recubiertos,69238,2.1
Cruz Verde,atorvastatina,Lipitor Atorvastatina 20 mg 30 Comprimidos Recubiertos,66393,2.01
Cruz Verde,atorvastatina,Lipitor Atorvastatina 10 mg 30 Comprimidos Recubiertoss,46119,1.4
Cruz Verde,atorvastatina,Caduet Amlodipino 5 mgm 30 Comprimidos Recubierto,67695,2.05
Cruz Verde,atorvastatina,Lipitor Atorvastatina 20 mg 90 Comprimidos Recubierto,92991,2.82
Cruz Verde,atorvastatina,Trinomia 100/20/5 Acido Acetilsalicilico 100 mg 28 Cápsulas,21939,0.66
Cruz Verde,atorvastatina,Trinomia Acido Acetilsalicilico 100 mg 28 Cápsulas,22590,0.68
Cruz Verde,atorvastatina,Trinomia 100/20/10 Acido Acetilsalicilico 100 mg 28 Cápsulas,22590,0.68
